t matrices
a matrix=mf01 2016auto
1	1	0.000000
1	2	0.000000
1	3	0.000000
1	50	0.000000
1	51	0.000000
1	52	0.000000
1	53	0.000000
1	54	0.000000
1	55	0.000000
1	56	0.000000
2	1	0.000000
2	2	60.000000
2	3	0.000000
2	50	24.000000
2	51	36.000000
2	52	60.000000
2	53	12.000000
2	54	24.000000
2	55	36.000000
2	56	48.000000
3	1	0.000000
3	2	0.000000
3	3	0.000000
3	50	0.000000
3	51	0.000000
3	52	0.000000
3	53	0.000000
3	54	0.000000
3	55	0.000000
3	56	0.000000
50	1	0.000000
50	2	24.000000
50	3	0.000000
50	50	2.400000
50	51	3.600000
50	52	6.000000
50	53	3.600000
50	54	7.200000
50	55	10.800000
50	56	14.400000
51	1	0.000000
51	2	36.000000
51	3	0.000000
51	50	3.600000
51	51	5.400000
51	52	9.000000
51	53	5.400000
51	54	10.800000
51	55	16.200000
51	56	21.600000
52	1	0.000000
52	2	60.000000
52	3	0.000000
52	50	6.000000
52	51	9.000000
52	52	15.000000
52	53	9.000000
52	54	18.000000
52	55	27.000000
52	56	36.000000
53	1	0.000000
53	2	12.000000
53	3	0.000000
53	50	3.600000
53	51	5.400000
53	52	9.000000
53	53	0.600000
53	54	1.200000
53	55	1.800000
53	56	2.400000
54	1	0.000000
54	2	24.000000
54	3	0.000000
54	50	7.200000
54	51	10.800000
54	52	18.000000
54	53	1.200000
54	54	2.400000
54	55	3.600000
54	56	4.800000
55	1	0.000000
55	2	36.000000
55	3	0.000000
55	50	10.800000
55	51	16.200000
55	52	27.000000
55	53	1.800000
55	54	3.600000
55	55	5.400000
55	56	7.200000
56	1	0.000000
56	2	48.000000
56	3	0.000000
56	50	14.400000
56	51	21.600000
56	52	36.000000
56	53	2.400000
56	54	4.800000
56	55	7.200000
56	56	9.600000
